hid,creation_date,operation_id,death_date,season,season_start_month,season_start_day,death_next_season,hive_age_next_season,aqhi_average,prcp_average,wspd_average,ndvi_average,tavg_average,o3_average,aqhi_skew,prcp_skew,wspd_skew,ndvi_skew,tavg_skew,o3_skew,aqhi_max,prcp_max,wspd_max,ndvi_max,tavg_max,o3_max,region,wspd_average_og,tavg_average_og,prcp_average_og,aqhi_average_og
186954,2023-06-27,159,2024-04-01,2023,4,1,False,279,0.7376467680741049,1.9740949148144489,2.114257536236265,0.1918711927924324,2.948026316873692,34.62209595959596,0.6290761878376241,3.3385153036339195,0.4465238068470646,0.5854024041186853,-0.1848982406688108,-7.202793450690958,4.0,81.1,14.7,0.5032840218721825,24.3,76.94958333333334, QC,8.283333333333333,19.068181818181817,7.2,2.090909090909091
170833,2023-06-03,159,2024-04-01,2023,4,1,False,303,0.7910247688195292,1.844086580894173,2.005240189097921,0.1848170265606055,2.912235319798731,36.45819351851851,0.4711085117721704,3.1793113511272275,1.1454183891285297,0.4421952518673106,-0.4718381843201894,-8.055850894712485,5.0,81.1,20.3,0.5050047015671622,24.7,79.5725, QC,7.427777777777778,18.397777777777776,6.322222222222222,2.205555555555556
170827,2023-06-03,159,2024-02-27,2023,4,1,True,269,0.7991853779320439,1.838017262146489,1.9787137966675337,0.1859534993755275,2.9228720101918766,36.46812552742616,0.5978811876099215,3.107365236782746,1.1184785963464774,0.2833831750660039,-0.4602965178785329,-7.72253316865054,5.0,81.1,20.3,0.49293966853136,24.7,80.01958333333333, QC,7.233333333333333,18.594514767932488,6.283966244725738,2.2236286919831225
150995,2023-05-05,159,2023-10-17,2023,4,1,True,165,0.9954650082717428,1.4691357989827274,2.385528747221401,0.1983246671157977,2.8284128633971912,48.01543417366947,0.4456169028604657,5.659044650831153,0.1167405757345539,0.4496176159879541,-0.8070571225794809,-7.940010630864025,6.0,84.8,17.9,0.4736195430971002,24.3,101.56541666666668, QC,10.864705882352942,16.91848739495798,4.345378151260505,2.7058823529411766
65905,2022-05-31,159,2024-03-05,2023,4,1,True,644,0.9944924965204894,1.5971880665509004,2.4757266339546384,0.1801301006974693,2.815487729007665,48.36533028455285,0.4446331187876794,3.474720976593153,0.4586822977264991,0.5787213875934976,-0.7224419284307803,-7.653868412405787,6.0,71.0,26.2,0.4875787086005556,25.7,104.69666666666669, QC,11.890243902439025,16.701219512195124,4.939024390243903,2.703252032520325
157057,2023-05-14,159,2024-03-05,2023,4,1,True,296,0.962518308058585,1.585538212677973,2.4146231731010546,0.1813642439276808,2.858407200508565,45.16007575757576,0.7126212946850358,4.298444738536078,0.1503883262949691,0.5379203152736639,-0.9874471440951148,-7.739901219779938,6.0,71.0,18.2,0.4613736277663592,24.6,100.76166666666668, QC,11.185454545454546,17.433636363636364,4.881818181818182,2.618181818181818
160752,2023-05-19,159,2024-04-01,2023,4,1,False,318,0.8912581091059215,1.7675163786034167,2.1344600021079776,0.1780559409607283,2.8688240691830726,41.85039285714286,0.8876626802067357,3.680573086885778,0.7121119582172595,0.7074766505269445,-0.4949850235782465,-7.786939612528637,6.0,81.1,17.2,0.4934596542864206,24.3,102.46041666666667, QC,8.452380952380953,17.616190476190475,5.856190476190476,2.4380952380952383
69134,2022-06-05,159,2024-04-01,2023,4,1,False,666,1.0108979299810263,1.490640276879416,2.3989385569173804,0.1742699863525878,2.8095066668404183,49.071700542005416,0.3618224141698337,5.585641949378558,0.3543081176780394,0.5805248598530212,-0.7855338139221782,-7.9019219710575,6.0,84.8,23.2,0.4811034087702165,24.3,101.56541666666668, QC,11.01138211382114,16.601626016260163,4.439837398373984,2.747967479674797
191177,2023-07-14,159,2024-03-28,2023,4,1,False,258,0.7621867176247085,1.6463203366194477,2.2817676611619597,0.1893422810652218,2.90735250248406,33.68675170068028,0.2881479385505979,2.649041240309534,0.1882738906254425,0.1819481726411306,-0.1035374446844573,-6.318468913090573,4.0,52.6,16.8,0.4717672490348688,24.0,73.03041666666667, QC,9.793877551020408,18.308163265306124,5.187755102040816,2.142857142857143
75663,2022-06-23,159,2024-03-05,2023,4,1,True,621,1.0167974380540252,1.544291813804771,2.4526943769530702,0.187043112437611,2.814343111213492,48.21487804878049,0.4393660590498967,4.305678946104409,0.2340593561770139,0.4204586558979009,-0.7754691903376407,-7.773593967250944,6.0,71.0,23.2,0.4974952346714739,24.6,100.76166666666668, QC,11.61951219512195,16.682113821138213,4.684552845528455,2.7642276422764227
68016,2022-06-02,159,2024-03-05,2023,4,1,True,642,1.0029773858669426,1.6170709827123693,2.374499016544606,0.1766060024620465,2.79920243433401,48.39765018066848,0.4008808453971836,4.348012615185567,0.4057513590036914,0.6134239251319443,-0.7130747973956127,-7.756392019609629,6.0,84.8,24.3,0.5392651511862494,24.8,102.46041666666667, QC,10.745528455284552,16.431436314363143,5.038211382113821,2.7262872628726287
160753,2023-05-19,159,2023-10-29,2023,4,1,True,163,0.8912581091059215,1.7675163786034167,2.1344600021079776,0.187486147158549,2.8688240691830726,41.85039285714286,0.8876626802067357,3.680573086885778,0.7121119582172595,0.5867568786790781,-0.4949850235782465,-7.786939612528637,6.0,81.1,17.2,0.5249530467736552,24.3,102.46041666666667, QC,8.452380952380953,17.616190476190475,5.856190476190476,2.4380952380952383
160674,2023-05-19,159,2024-03-05,2023,4,1,True,291,0.9370658086903298,1.5751628920128695,2.3505681288019105,0.1858924606656372,2.8788294753749035,44.720682539682535,0.6692028816274012,5.3634424782327175,0.1930945686340217,0.4582277525079378,-0.6722562993953215,-7.850068235232302,6.0,84.8,17.9,0.4839465728874652,24.3,101.56541666666668, QC,10.491428571428573,17.793333333333333,4.831428571428572,2.552380952380952
191286,2023-07-14,159,2024-04-01,2023,4,1,False,262,0.7621867176247085,1.6463203366194477,2.2817676611619597,0.1703370396057583,2.90735250248406,33.68675170068028,0.2881479385505979,2.649041240309534,0.1882738906254425,0.6609619818597899,-0.1035374446844574,-6.318468913090573,4.0,52.6,16.8,0.5171666027720908,24.0,73.03041666666667, QC,9.793877551020408,18.308163265306124,5.187755102040816,2.142857142857143
